0,0,0,0,0,0,0,0,0,0
0.028,-0.007,-0.003,0.016,-0.004,0.003,0.006,0.027,0.009,0.023
0.04,-0.005,-0.002,0.028,-0.001,0.009,0.014,0.04,0.014,0.033
0.053,0.001,0.001,0.043,0.006,0.019,0.024,0.053,0.02,0.043
0.064,0.009,0.004,0.058,0.015,0.029,0.037,0.066,0.024,0.053
0.073,0.02,0.01,0.072,0.025,0.04,0.048,0.079,0.027,0.061
0.08,0.033,0.017,0.086,0.039,0.049,0.059,0.09,0.03,0.069
0.086,0.046,0.024,0.098,0.051,0.057,0.069,0.101,0.033,0.074
0.091,0.057,0.028,0.108,0.062,0.064,0.076,0.111,0.037,0.079
0.095,0.069,0.033,0.117,0.072,0.07,0.082,0.119,0.041,0.082
0.099,0.078,0.037,0.127,0.08,0.075,0.086,0.128,0.045,0.086
0.103,0.085,0.037,0.135,0.088,0.079,0.09,0.135,0.051,0.088
0.107,0.091,0.037,0.141,0.095,0.082,0.092,0.141,0.057,0.091
0.112,0.096,0.037,0.147,0.101,0.085,0.094,0.146,0.065,0.095
0.118,0.099,0.037,0.151,0.108,0.087,0.096,0.151,0.072,0.098
0.124,0.103,0.037,0.156,0.115,0.09,0.098,0.154,0.08,0.101
0.132,0.107,0.038,0.159,0.121,0.093,0.101,0.157,0.085,0.104
0.139,0.111,0.041,0.161,0.128,0.096,0.104,0.157,0.09,0.109
0.145,0.115,0.045,0.161,0.136,0.099,0.109,0.157,0.092,0.112
0.153,0.122,0.049,0.161,0.144,0.101,0.113,0.154,0.093,0.117
0.16,0.128,0.053,0.159,0.151,0.105,0.119,0.152,0.091,0.122
0.166,0.135,0.056,0.157,0.158,0.108,0.125,0.149,0.089,0.128
0.172,0.141,0.059,0.156,0.163,0.112,0.133,0.147,0.086,0.136
0.173,0.148,0.059,0.153,0.165,0.118,0.14,0.145,0.083,0.143
0.171,0.154,0.059,0.152,0.165,0.124,0.148,0.144,0.082,0.151
0.164,0.161,0.057,0.149,0.161,0.131,0.154,0.143,0.082,0.158
0.152,0.167,0.054,0.146,0.153,0.137,0.161,0.14,0.083,0.164
0.136,0.172,0.051,0.142,0.143,0.145,0.167,0.136,0.087,0.169
0.117,0.171,0.046,0.136,0.13,0.152,0.17,0.131,0.093,0.17
0.099,0.165,0.043,0.128,0.117,0.158,0.17,0.123,0.099,0.17
